0,1,2,3,4,5,6,7,8,9
dosen,baik,mahasiswa,fasilitas,kelas,ruang,fasilkom,ti,toilet,fakultas
baik,ruang,materi,bersih,dosen,aspek,nyaman,berkas,mahasiswa,laboratorium
mahasiswa,dosen,baik,akademik,fakultas,fasilitas,staf,ajar,kampus,ruang
fakultas,mahasiswa,fasilitas,baik,banyak,bersih,toilet,harus,ruang,sama
nasihat,dosen,beliau,mahasiswa,perkembangan,harus,akademik,teman,interaksi,rapat
baik,dosen,mahasiswa,ruang,berkas,ajar,materi,fasilitas,ti,urus
mahasiswa,dosen,akademik,fasilitas,fakultas,dekan,membuktikan,menuntun,menuntut,topik
the,my,provided,for,lab,mampu,membantu,dosen,mahasiswa,bad
